Channel			  :,CH2
Frequency			  :,F=411.7kHz
Period 			  :,T=  ?
PK-PK				  :,Vpp=5.680V
Average			  :,V=3.514V
Vertical pos		  :,-4000.00mV
Probe attenuation	  :,10X
Voltage per ADC value:,80.00mV
Time interval		  :,0.08uS

index,CH2_Voltage(mV)
609,4800.00
610,4720.00
611,4720.00
612,4880.00
613,0.00
614,0.00
615,80.00
616,0.00
617,0.00
618,80.00
619,80.00
620,80.00
621,0.00
622,160.00
623,80.00
624,0.00
625,4960.00
626,4720.00
627,4800.00
628,4880.00
629,4640.00
630,4880.00
631,4720.00
632,4800.00
633,4720.00
634,4800.00
635,4800.00
636,4720.00
637,4880.00
638,4720.00
639,4880.00
640,4720.00
641,4800.00
642,4800.00
643,4720.00
644,4800.00
645,4960.00
646,4800.00
647,4720.00
648,4880.00
649,4800.00
650,4720.00
651,4800.00
652,4720.00
653,4880.00
654,4720.00
655,4800.00
656,4720.00
657,4800.00
658,4880.00
659,4800.00
660,4720.00
661,4800.00
662,1680.00
663,0.00
664,160.00
665,80.00
666,0.00
667,0.00
668,160.00
669,160.00
670,160.00
671,0.00
672,0.00
673,80.00
674,3120.00
675,4800.00
676,4800.00
677,4880.00
678,4880.00
679,4720.00
680,4880.00
681,4880.00
682,4880.00
683,4720.00
684,4720.00
685,4880.00
686,4800.00
687,4720.00
688,4800.00
689,4800.00
690,4720.00
691,4880.00
692,4720.00
693,4720.00
694,4800.00
695,4800.00
696,4720.00
697,4800.00
698,4800.00
699,4640.00
700,4800.00
701,4720.00
702,4720.00
703,4800.00
704,4880.00
705,4720.00
706,4720.00
707,4720.00
708,4720.00
709,4720.00
710,4720.00
711,-800.00
712,0.00
713,160.00
714,0.00
715,0.00
716,0.00
717,80.00
718,0.00
719,80.00
720,0.00
721,0.00
722,0.00
723,3920.00
724,4800.00
725,4720.00
726,4800.00
727,4880.00
728,4960.00
729,4880.00
730,4800.00
731,4720.00
732,4800.00
733,4720.00
734,4640.00
735,4800.00
736,4800.00
737,4880.00
738,4720.00
739,4720.00
740,4800.00
741,4880.00
742,4800.00
743,4720.00
744,4800.00
745,4720.00
746,4720.00
747,4720.00
748,4880.00
749,4880.00
750,4800.00
751,4800.00
752,4800.00
753,4800.00
754,4720.00
755,4800.00
756,4880.00
757,4720.00
758,4720.00
759,4800.00
760,4800.00
761,3200.00
762,0.00
763,0.00
764,160.00
765,160.00
766,80.00
767,160.00
768,160.00
769,160.00
770,0.00
771,0.00
772,160.00
773,2560.00
774,4880.00
775,4720.00
776,4800.00
777,4720.00
778,4800.00
779,4720.00
780,4720.00
781,4880.00
782,4880.00
783,4640.00
784,4720.00
785,4720.00
786,4800.00
787,4800.00
788,4720.00
789,4720.00
790,4800.00
791,4800.00
792,4640.00
793,4800.00
794,4720.00
795,4720.00
796,4800.00
797,4800.00
798,4800.00
799,4720.00
800,4720.00
801,4880.00
802,4720.00
803,4800.00
804,4800.00
805,4720.00
806,4880.00
807,4720.00
808,4880.00
809,4880.00
810,4720.00
811,4800.00
812,4720.00
813,4640.00
814,160.00
815,0.00
816,80.00
817,80.00
818,0.00
819,0.00
820,80.00
821,80.00
822,0.00
823,80.00
824,80.00
825,160.00
826,4160.00
827,4960.00
828,4800.00
829,4880.00
830,4960.00
831,4880.00
832,4720.00
833,4800.00
834,4880.00
835,4800.00
836,4800.00
837,4800.00
838,4880.00
839,4960.00
840,4720.00
841,4800.00
842,4800.00
843,4720.00
844,4800.00
845,4720.00
846,4800.00
847,4800.00
848,4880.00
849,4720.00
850,4800.00
851,4720.00
852,4720.00
853,4880.00
854,4800.00
855,4800.00
856,4800.00
857,4800.00
858,4880.00
859,4880.00
860,4720.00
861,4800.00
862,4800.00
863,4720.00
864,4800.00
865,4800.00
866,4880.00
867,4800.00
868,4720.00
869,4720.00
870,4800.00
871,4880.00
872,4800.00
873,4800.00
874,4720.00
875,4800.00
876,4800.00
877,4720.00
878,4800.00
879,4800.00
880,4800.00
881,4720.00
882,4880.00
883,4800.00
884,4800.00
885,4640.00
886,4800.00
887,4800.00
888,4720.00
889,4800.00
890,4800.00
891,4720.00
892,4720.00
893,4800.00
894,4800.00
895,4640.00
896,4800.00
897,4720.00
898,4880.00
899,4720.00
900,4720.00
901,4800.00
902,4800.00
903,4720.00
904,4800.00
905,4880.00
906,4720.00
907,4640.00
908,4880.00
909,4800.00
910,4720.00
911,4720.00
912,4800.00
913,4800.00
914,4720.00
915,4880.00
916,4800.00
917,4640.00
918,4800.00
919,4640.00
920,4800.00
921,4800.00
922,4800.00
923,4720.00
924,4800.00
925,4720.00
926,4800.00
927,4640.00
928,4880.00
929,4880.00
930,4800.00
931,4800.00
932,4640.00
933,4720.00
934,4800.00
935,4720.00
936,4720.00
937,4720.00
938,4880.00
939,4720.00
940,4800.00
941,4720.00
942,4800.00
943,4720.00
944,4800.00
945,4720.00
946,4720.00
947,4720.00
948,4800.00
949,4720.00
950,4720.00
951,4720.00
952,4800.00
953,4800.00
954,4640.00
955,240.00
956,-80.00
957,0.00
958,0.00
959,-80.00
960,0.00
961,80.00
962,0.00
963,160.00
964,0.00
965,0.00
966,0.00
967,3440.00
968,4800.00
969,4800.00
970,4800.00
971,4880.00
972,4800.00
973,4640.00
974,4800.00
975,4800.00
976,4800.00
977,4720.00
978,4720.00
979,4800.00
980,4880.00
981,4720.00
982,4640.00
983,4800.00
984,4640.00
985,4640.00
986,4720.00
987,4800.00
988,4800.00
989,4800.00
990,4800.00
991,4880.00
992,4880.00
993,4720.00
994,4720.00
995,4640.00
996,4800.00
997,4800.00
998,4800.00
999,4800.00
1000,4800.00
1001,4800.00
1002,4720.00
1003,4720.00
1004,4800.00
1005,4720.00
1006,4560.00
1007,4720.00
1008,0.00
1009,-160.00
1010,80.00
1011,0.00
1012,0.00
1013,0.00
1014,0.00
1015,80.00
1016,-80.00
1017,0.00
1018,80.00
1019,80.00
1020,4720.00
