index,CH2_Voltage(mV)
407,4800.00
408,4880.00
409,4800.00
410,4800.00
411,4800.00
412,4800.00
413,4800.00
414,4800.00
415,4800.00
416,4800.00
417,4800.00
418,4800.00
419,4800.00
420,4880.00
421,4800.00
422,4800.00
423,4800.00
424,4800.00
425,4800.00
426,4800.00
427,4800.00
428,4800.00
429,4720.00
430,4800.00
431,4800.00
432,4720.00
433,4800.00
434,4800.00
435,4800.00
436,4800.00
437,4800.00
438,4800.00
439,4800.00
440,4880.00
441,4880.00
442,4800.00
443,4800.00
444,4800.00
445,4800.00
446,4800.00
447,4800.00
448,4800.00
449,4800.00
450,4800.00
451,4800.00
452,4800.00
453,4880.00
454,4800.00
455,4800.00
456,4800.00
457,4880.00
458,4800.00
459,4800.00
460,4800.00
461,4800.00
462,4880.00
463,4800.00
464,4800.00
465,4800.00
466,4800.00
467,4720.00
468,4720.00
469,4800.00
470,4720.00
471,4800.00
472,4800.00
473,4880.00
474,4800.00
475,4800.00
476,4800.00
477,4800.00
478,4800.00
479,4720.00
480,4800.00
481,4800.00
482,4720.00
483,4800.00
484,4800.00
485,4800.00
486,4880.00
487,4800.00
488,4800.00
489,4800.00
490,4800.00
491,4800.00
492,4880.00
493,4800.00
494,4800.00
495,4800.00
496,4800.00
497,4880.00
498,4800.00
499,4800.00
500,4800.00
501,4800.00
502,4800.00
503,4800.00
504,4880.00
505,4800.00
506,4880.00
507,4800.00
508,4800.00
509,4800.00
510,4800.00
511,4800.00
512,4800.00
513,4800.00
514,4800.00
515,4800.00
516,4800.00
517,4800.00
518,4800.00
519,4800.00
520,4800.00
521,4800.00
522,4880.00
523,4800.00
524,4880.00
525,4800.00
526,4720.00
527,4800.00
528,4880.00
529,4800.00
530,4800.00
531,4800.00
532,4800.00
533,4720.00
534,4800.00
535,4800.00
536,4800.00
537,4880.00
538,4800.00
539,4800.00
540,4800.00
541,4800.00
542,4800.00
543,4800.00
544,4800.00
545,4800.00
546,4800.00
547,4800.00
548,4800.00
549,4800.00
550,4800.00
551,4800.00
552,4800.00
553,4720.00
554,4800.00
555,4720.00
556,4800.00
557,4800.00
558,4800.00
559,4800.00
560,4800.00
561,4800.00
562,4800.00
563,4800.00
564,4800.00
565,4800.00
566,4800.00
567,4800.00
568,4880.00
569,4800.00
570,4800.00
571,4800.00
572,4800.00
573,4800.00
574,4800.00
575,4800.00
576,4800.00
577,4800.00
578,4800.00
579,4800.00
580,4800.00
581,4800.00
582,4880.00
583,4800.00
584,4880.00
585,4800.00
586,4800.00
587,4800.00
588,4800.00
589,4800.00
590,4800.00
591,4800.00
592,4800.00
593,4800.00
594,4960.00
595,4720.00
596,4800.00
597,4800.00
598,4800.00
599,4800.00
600,4800.00
601,4800.00
602,4800.00
603,4800.00
604,4800.00
605,4800.00
606,4800.00
607,4800.00
608,4800.00
609,4800.00
610,4800.00
611,4800.00
612,4800.00
613,4800.00
614,4800.00
615,4800.00
616,4800.00
617,4800.00
618,4800.00
619,4800.00
620,4800.00
621,4800.00
622,4800.00
623,4800.00
624,4800.00
625,4800.00
626,4800.00
627,4800.00
628,4800.00
629,4800.00
630,4800.00
631,4640.00
632,4800.00
633,4800.00
634,4800.00
635,4800.00
636,4800.00
637,4800.00
638,4800.00
639,4800.00
640,4800.00
641,4880.00
642,4800.00
643,4800.00
644,4800.00
645,4720.00
646,4800.00
647,4800.00
648,4800.00
649,4800.00
650,4800.00
651,4800.00
652,4880.00
653,4800.00
654,4800.00
655,4800.00
656,4800.00
657,4800.00
658,4800.00
659,4800.00
660,4800.00
661,4800.00
662,4880.00
663,4800.00
664,4800.00
665,4800.00
666,4800.00
667,4800.00
668,4800.00
669,4800.00
670,4800.00
671,4800.00
672,4800.00
673,4800.00
674,4800.00
675,4800.00
676,4800.00
677,4880.00
678,4800.00
679,4800.00
680,4800.00
681,4800.00
682,4880.00
683,4800.00
684,4800.00
685,4800.00
686,4880.00
687,4800.00
688,4800.00
689,4800.00
690,4800.00
691,4800.00
692,4800.00
693,4800.00
694,4800.00
695,4800.00
696,4800.00
697,4800.00
698,4800.00
699,4800.00
700,4800.00
701,4880.00
702,4800.00
703,4800.00
704,4880.00
705,4880.00
706,4800.00
707,4800.00
708,4800.00
709,4800.00
710,4720.00
711,4800.00
712,4800.00
713,4800.00
714,4800.00
715,4800.00
716,4800.00
717,4800.00
718,4800.00
719,4800.00
720,4800.00
721,4800.00
722,4800.00
723,4800.00
724,4880.00
725,4800.00
726,4800.00
727,4800.00
728,4800.00
729,4800.00
730,4800.00
731,4800.00
732,4880.00
733,4800.00
734,4800.00
735,4880.00
736,4800.00
737,4800.00
738,4800.00
739,4800.00
740,4800.00
741,4800.00
742,4800.00
743,4800.00
744,4720.00
745,4800.00
746,4800.00
747,4800.00
748,4800.00
