Channel			  :,CH2
Frequency			  :,F=937.6kHz
Period 			  :,T=  ?
PK-PK				  :,Vpp=6.880V
Average			  :,V=4.244V
Vertical pos		  :,-4000.00mV
Probe attenuation	  :,10X
Voltage per ADC value:,80.00mV
Time interval		  :,0.02uS

index,CH2_Voltage(mV)
734,4800.00
735,4720.00
736,4720.00
737,4800.00
738,4800.00
739,4720.00
740,4720.00
741,4640.00
742,4800.00
743,4800.00
744,4720.00
745,4720.00
746,4640.00
747,4800.00
748,4800.00
749,-800.00
750,720.00
751,240.00
752,0.00
753,-160.00
754,-160.00
755,-80.00
756,0.00
757,-80.00
758,80.00
759,0.00
760,-80.00
761,0.00
762,-80.00
763,0.00
764,-80.00
765,-80.00
766,0.00
767,-80.00
768,-80.00
769,-80.00
770,-80.00
771,0.00
772,-80.00
773,0.00
774,2080.00
775,4080.00
776,4480.00
777,4720.00
778,4800.00
779,4800.00
780,4720.00
781,4800.00
782,4800.00
783,4800.00
784,4800.00
785,4800.00
786,4640.00
787,4720.00
788,4720.00
789,4880.00
790,4800.00
791,4800.00
792,4720.00
793,4800.00
794,4800.00
795,4720.00
796,4960.00
797,4880.00
798,4800.00
799,4800.00
800,4720.00
801,4800.00
802,4720.00
803,4800.00
804,4800.00
805,4720.00
806,4800.00
807,4640.00
808,4800.00
809,4800.00
810,4720.00
811,4720.00
812,4720.00
813,4720.00
814,4720.00
815,4720.00
816,4960.00
817,4880.00
818,4800.00
819,4720.00
820,4720.00
821,4800.00
822,4800.00
823,4800.00
824,4800.00
825,4720.00
826,4720.00
827,4800.00
828,4800.00
829,4800.00
830,4880.00
831,4880.00
832,4640.00
833,4720.00
834,4800.00
835,4800.00
836,4720.00
837,4880.00
838,4800.00
839,4800.00
840,4800.00
841,4720.00
842,4720.00
843,4800.00
844,4800.00
845,4720.00
846,4720.00
847,4880.00
848,4800.00
849,4800.00
850,4720.00
851,4720.00
852,4960.00
853,4720.00
854,4800.00
855,4800.00
856,4800.00
857,4720.00
858,4720.00
859,4800.00
860,4720.00
861,4720.00
862,4800.00
863,4800.00
864,4880.00
865,4720.00
866,4800.00
867,4720.00
868,4720.00
869,4720.00
870,4720.00
871,4720.00
872,4880.00
873,4800.00
874,4720.00
875,4720.00
876,4800.00
877,4800.00
878,4800.00
879,4800.00
880,4800.00
881,4640.00
882,4720.00
883,4800.00
884,4800.00
885,4720.00
886,4640.00
887,4800.00
888,4720.00
889,4800.00
890,4720.00
891,4800.00
892,4720.00
893,4800.00
894,4720.00
895,4640.00
896,4720.00
897,4800.00
898,4800.00
899,4880.00
900,4720.00
901,4800.00
902,4720.00
903,4800.00
904,4720.00
905,4720.00
906,4800.00
907,4720.00
908,4800.00
909,4800.00
910,4720.00
911,4800.00
912,4800.00
913,4800.00
914,4800.00
915,4800.00
916,4800.00
917,4720.00
918,4800.00
919,4800.00
920,4720.00
921,4880.00
922,4800.00
923,4800.00
924,4800.00
925,4640.00
926,4800.00
927,4720.00
928,4720.00
929,4720.00
930,4720.00
931,4720.00
932,4880.00
933,4720.00
934,4800.00
935,4720.00
936,4800.00
937,4720.00
938,4800.00
939,4720.00
940,4720.00
941,4800.00
942,4800.00
943,4800.00
944,4720.00
945,4720.00
946,4720.00
947,4800.00
948,4720.00
949,4880.00
950,4800.00
951,4720.00
952,4800.00
953,4720.00
954,4800.00
955,4720.00
956,4800.00
957,4720.00
958,4800.00
959,4800.00
960,4640.00
961,4720.00
962,4720.00
963,4720.00
964,4800.00
965,4800.00
966,4640.00
967,4880.00
968,4720.00
969,4800.00
970,4720.00
971,4720.00
972,4720.00
973,4800.00
974,4800.00
975,4720.00
976,4640.00
977,4800.00
978,4640.00
979,4800.00
980,4720.00
981,4800.00
982,4720.00
983,4800.00
984,4800.00
985,4880.00
986,4800.00
987,4880.00
988,4800.00
989,4800.00
990,4720.00
991,4640.00
992,4800.00
993,4800.00
994,4720.00
995,4880.00
996,4800.00
997,4800.00
998,4800.00
999,-1040.00
1000,560.00
1001,240.00
1002,-160.00
1003,-160.00
1004,-80.00
1005,-80.00
1006,0.00
1007,-80.00
1008,0.00
1009,0.00
1010,-80.00
1011,0.00
1012,0.00
1013,0.00
1014,0.00
1015,-80.00
1016,0.00
1017,-80.00
1018,0.00
1019,-80.00
1020,-80.00
1021,0.00
1022,80.00
1023,0.00
1024,2160.00
1025,4080.00
1026,4640.00
1027,4880.00
1028,4800.00
1029,4880.00
1030,4720.00
1031,4880.00
1032,4960.00
1033,4800.00
1034,4800.00
1035,4800.00
1036,4800.00
1037,4720.00
1038,4880.00
1039,4800.00
1040,4720.00
1041,4800.00
1042,4800.00
1043,4960.00
1044,4800.00
1045,4800.00
1046,4880.00
1047,4800.00
1048,4800.00
1049,4880.00
1050,4880.00
1051,4640.00
1052,4880.00
1053,4960.00
1054,4800.00
1055,4880.00
1056,4880.00
1057,4960.00
1058,4800.00
1059,4800.00
1060,4720.00
1061,4800.00
1062,4880.00
1063,4800.00
1064,4800.00
1065,4720.00
1066,4800.00
1067,4720.00
1068,4880.00
1069,4800.00
1070,4880.00
1071,4880.00
1072,4880.00
1073,4800.00
1074,4800.00
1075,4720.00
1076,4880.00
1077,4880.00
1078,4720.00
1079,4800.00
1080,4720.00
1081,4880.00
1082,4720.00
1083,4800.00
1084,4800.00
1085,4720.00
1086,4880.00
1087,4720.00
1088,4800.00
1089,4800.00
1090,4800.00
1091,4720.00
1092,4800.00
1093,4880.00
1094,4800.00
1095,4800.00
1096,4720.00
1097,4800.00
1098,4800.00
1099,4720.00
1100,4640.00
1101,4880.00
1102,4800.00
1103,4800.00
1104,4800.00
1105,4800.00
1106,4880.00
1107,4640.00
1108,4800.00
1109,4800.00
1110,4720.00
1111,4800.00
1112,4880.00
1113,4800.00
1114,4800.00
1115,4720.00
1116,4880.00
1117,4880.00
1118,4800.00
1119,4800.00
1120,4720.00
1121,4640.00
1122,4800.00
1123,4800.00
1124,4800.00
1125,4800.00
1126,4800.00
1127,4800.00
1128,4800.00
1129,4800.00
1130,4720.00
1131,4720.00
1132,4720.00
1133,4800.00
1134,4720.00
1135,4640.00
1136,4720.00
1137,4720.00
1138,4800.00
1139,4800.00
1140,4800.00
1141,4720.00
1142,4720.00
1143,4800.00
1144,4720.00
1145,4720.00
1146,4640.00
1147,4880.00
1148,4880.00
1149,4880.00
1150,4640.00
1151,4720.00
1152,4800.00
1153,4800.00
1154,4880.00
1155,4720.00
1156,4720.00
1157,4800.00
1158,4800.00
1159,4720.00
1160,4640.00
1161,4720.00
1162,4720.00
1163,4800.00
1164,4800.00
1165,4720.00
1166,4720.00
1167,4800.00
1168,4800.00
1169,4800.00
1170,4800.00
1171,4640.00
1172,4800.00
1173,4800.00
1174,4800.00
1175,4720.00
1176,4720.00
1177,4720.00
1178,4800.00
1179,4800.00
1180,4720.00
1181,4720.00
1182,4800.00
1183,4800.00
1184,4800.00
1185,4720.00
1186,4720.00
1187,4800.00
1188,4800.00
1189,4800.00
1190,4720.00
1191,4800.00
1192,4800.00
1193,4800.00
1194,4720.00
1195,4800.00
1196,4720.00
1197,4800.00
1198,4800.00
1199,4880.00
1200,4800.00
1201,4800.00
1202,4720.00
1203,4640.00
1204,4800.00
1205,4720.00
1206,4800.00
1207,4800.00
1208,4720.00
1209,4720.00
1210,4800.00
1211,4800.00
1212,4800.00
1213,4720.00
1214,4720.00
1215,4800.00
1216,4720.00
1217,4800.00
1218,4720.00
1219,4720.00
1220,4720.00
1221,4800.00
1222,4720.00
1223,4720.00
1224,4880.00
1225,4880.00
1226,4800.00
1227,4720.00
1228,4720.00
1229,4720.00
1230,4880.00
1231,4800.00
1232,4800.00
1233,4720.00
1234,4960.00
1235,4800.00
1236,4800.00
1237,4720.00
1238,4800.00
1239,4800.00
1240,4960.00
1241,4800.00
1242,4800.00
1243,4720.00
1244,4800.00
1245,4720.00
1246,4800.00
1247,-1200.00
1248,720.00
1249,240.00
1250,-80.00
1251,-80.00
1252,-80.00
1253,-160.00
1254,-160.00
1255,-80.00
1256,0.00
1257,-80.00
1258,80.00
1259,80.00
1260,80.00
1261,0.00
1262,0.00
1263,80.00
1264,-80.00
1265,0.00
1266,0.00
1267,0.00
1268,-80.00
1269,-80.00
1270,0.00
1271,80.00
1272,2240.00
1273,4080.00
1274,4640.00
1275,4720.00
1276,4800.00
1277,4800.00
1278,4880.00
1279,4640.00
1280,4720.00
1281,4800.00
1282,4800.00
1283,4880.00
1284,4800.00
1285,4800.00
1286,4800.00
1287,4720.00
1288,4720.00
1289,4640.00
1290,4880.00
1291,4800.00
1292,4720.00
1293,4800.00
1294,4720.00
1295,4720.00
1296,4800.00
1297,4880.00
1298,4800.00
1299,4720.00
1300,4720.00
1301,4800.00
1302,4800.00
1303,4720.00
1304,4880.00
1305,4800.00
1306,4800.00
1307,4800.00
